Number_of_seats,Longitude,Latitude
6,144.970912182,-37.81223526
160,144.970912182,-37.81223526
190,144.971209286,-37.81285939
40,144.971940356,-37.81248659
55,144.972359875,-37.81207948
110,144.972933874,-37.81199485
38,144.955334847,-37.81622985
56,144.955214601,-37.81596694
10,144.954046607,-37.81627136
14,144.958395986,-37.81527486
20,144.95877017,-37.8149502
16,144.95877017,-37.8149502
119,144.959206395,-37.81499898
12,144.959473587,-37.81506689
16,144.95960928,-37.81486299
60,144.959668504,-37.81430823
44,144.958096579,-37.81476913
75,144.958240425,-37.81492774
36,144.961501471,-37.81443746
16,144.961765686,-37.81416491
120,144.961765686,-37.81416491
6,144.962614332,-37.81366479
30,144.962557399,-37.81354169
50,144.961414717,-37.81429206
35,144.961323631,-37.81409288
95,144.961323631,-37.81409288
6,144.961275896,-37.81398887
12,144.961275896,-37.81398887
40,144.962002066,-37.81358784
70,144.962001325,-37.81374507
60,144.961791187,-37.81367311
25,144.961403147,-37.81379758
24,144.961213744,-37.81385265
18,144.961213744,-37.81385265
50,144.961213744,-37.81385265
12,144.961213744,-37.81385265
100,144.961044245,-37.81403331
8,144.960689858,-37.8140298
12,144.960779337,-37.81429462
75,144.964656337,-37.81288802
58,144.965025183,-37.81284781
55,144.96584595,-37.81296577
16,144.966304612,-37.81272181
20,144.966304612,-37.81272181
250,144.966886214,-37.81259543
26,144.966886214,-37.81259543
60,144.9672862,-37.81243254
30,144.9672862,-37.81243254
150,144.967697361,-37.81267743
60,144.966835874,-37.81221907
30,144.96764258,-37.81247306
60,144.967448834,-37.81207205
100,144.967413537,-37.81199863
4,144.968479582,-37.8124499
140,144.968545341,-37.81206254
180,144.968866705,-37.81199904
100,144.969557446,-37.81207552
24,144.969787188,-37.8117044
32,144.970257882,-37.81191192
52,144.969920584,-37.81128901
100,144.969344653,-37.8116085
50,144.969412523,-37.81175272
130,144.971016838,-37.81168441
45,144.971172796,-37.81165144
20,144.971698403,-37.81137862
8,144.972564821,-37.81123674
100,144.972685435,-37.81120165
50,144.970943426,-37.81125826
35,144.971333604,-37.81131293
65,144.971333604,-37.81131293
90,144.971839432,-37.81094484
150,144.971515286,-37.8108373
140,144.972438441,-37.81095264
18,144.972438441,-37.81095264
38,144.954866448,-37.81514799
50,144.954581469,-37.81537597
30,144.955226146,-37.81459237
80,144.955289841,-37.81473091
70,144.955678914,-37.81501841
60,144.959883611,-37.81379784
55,144.959763729,-37.81355497
20,144.959763729,-37.81355497
80,144.959763729,-37.81355497
28,144.962292501,-37.81321522
100,144.96097922,-37.81338433
80,144.960876163,-37.81314476
50,144.960876163,-37.81314476
36,144.961176802,-37.81318338
45,144.961271745,-37.81339624
30,144.961271745,-37.81339624
18,144.961082978,-37.81359935
65,144.961082978,-37.81359935
30,144.961337723,-37.81354482
40,144.961759003,-37.81327434
8,144.960171475,-37.8132041
24,144.960479202,-37.81352421
48,144.962887714,-37.81261578
30,144.962887714,-37.81261578
10,144.964317001,-37.81206007
50,144.964787834,-37.81239398
200,144.964745906,-37.81230243
100,144.96470564,-37.81221572
50,144.96461155,-37.81201181
70,144.964541095,-37.81186099
70,144.966139607,-37.8118823
60,144.966639921,-37.81126975
60,144.966585927,-37.81128591
100,144.966362777,-37.8113331
120,144.966227591,-37.81204552
81,144.96695137,-37.81187047
60,144.96695137,-37.81187047
120,144.967139422,-37.81185665
75,144.967046362,-37.81112058
90,144.967046362,-37.81112058
20,144.965259827,-37.81199694
36,144.965259827,-37.81199694
48,144.965368535,-37.81218587
160,144.965447985,-37.81186755
95,144.967000521,-37.81162636
40,144.969555251,-37.81093974
78,144.969529991,-37.81051241
70,144.969263517,-37.81049441
50,144.968911852,-37.81076275
25,144.967872148,-37.81093742
100,144.96765378,-37.81098407
11,144.968162341,-37.810818
12,144.970505583,-37.81055842
108,144.970505583,-37.81055842
10,144.971540661,-37.80982017
5,144.97072432,-37.81005822
20,144.97072432,-37.81005822
11,144.97072432,-37.81005822
80,144.97072432,-37.81005822
230,144.970984312,-37.81068648
46,144.971423199,-37.81034113
8,144.972068819,-37.81012834
23,144.972068819,-37.81012834
100,144.955781113,-37.8138692
15,144.955887417,-37.81385183
53,144.955887417,-37.81385183
22,144.95670737,-37.81318044
16,144.956625419,-37.81299689
20,144.956026441,-37.81347798
40,144.956026441,-37.81347798
8,144.956026441,-37.81347798
8,144.956026441,-37.81347798
33,144.956026441,-37.81347798
6,144.956026441,-37.81347798
12,144.958623229,-37.81298225
94,144.958623229,-37.81298225
34,144.958362387,-37.81305387
70,144.958362387,-37.81305387
35,144.960403092,-37.81210871
160,144.960689912,-37.81213742
6,144.960334895,-37.81244369
35,144.961143873,-37.81201073
50,144.960259327,-37.81190214
45,144.965712827,-37.81065936
38,144.965712827,-37.81065936
46,144.965712827,-37.81065936
50,144.965712827,-37.81065936
20,144.965712827,-37.81065936
26,144.965712827,-37.81065936
25,144.965712827,-37.81065936
100,144.965712827,-37.81065936
104,144.965712827,-37.81065936
18,144.96737907,-37.81056876
80,144.96917517,-37.80987752
40,144.967146549,-37.81007323
40,144.967168473,-37.81011252
52,144.969985036,-37.80941625
16,144.952905577,-37.81327436
45,144.952905577,-37.81327436
15,144.952015322,-37.81360132
34,144.954284029,-37.81261651
6,144.954284029,-37.81261651
80,144.955895033,-37.81244869
90,144.955309022,-37.81251997
25,144.954960915,-37.81275305
80,144.954960915,-37.81275305
70,144.955513379,-37.8129915
12,144.961217587,-37.81067573
6,144.959653807,-37.81107155
66,144.959684286,-37.81181302
12,144.959684286,-37.81181302
42,144.963007607,-37.81076333
86,144.963007607,-37.81076333
6,144.963007607,-37.81076333
110,144.963007607,-37.81076333
6,144.963007607,-37.81076333
68,144.963007607,-37.81076333
28,144.963007607,-37.81076333
50,144.964203259,-37.81107901
15,144.96405697,-37.81076453
70,144.96405697,-37.81076453
35,144.96405697,-37.81076453
32,144.963760084,-37.81036646
12,144.965315473,-37.80977018
100,144.968837799,-37.80893302
57,144.968837799,-37.80893302
45,144.968797432,-37.80884919
60,144.968599448,-37.80915496
40,144.966825993,-37.80932712
8,144.953523715,-37.81214666
88,144.957123509,-37.81123862
13,144.960858995,-37.81001568
80,144.960858995,-37.81001568
8,144.960444339,-37.81010525
75,144.963219414,-37.80953359
15,144.963429224,-37.80945869
60,144.963189112,-37.80895731
73,144.964559885,-37.80818503
28,144.96035335,-37.80885999
2,144.960246372,-37.8088113
40,144.959162971,-37.80896134
32,144.962937359,-37.80846031
140,144.962937359,-37.80846031
10,144.962680282,-37.80779494
40,144.962680282,-37.80779494
48,144.95724895,-37.80746124
20,144.95724895,-37.80746124
24,144.95724895,-37.80746124
26,144.95724895,-37.80746124
35,144.95724895,-37.80746124
70,144.959801127,-37.8076043
50,144.958946146,-37.80819852
130,144.958380541,-37.80792292
20,144.958380541,-37.80792292
6,144.959960252,-37.80794226
38,144.961995671,-37.80710849
40,144.961995671,-37.80710849
23,144.96339574,-37.80700834
80,144.960193135,-37.80671628
84,144.953651706,-37.82253773
25,144.964960392,-37.79953872
43,144.964660761,-37.79941126
40,144.966726707,-37.80019117
4,144.966789443,-37.79982902
12,144.966792843,-37.79978512
56,144.966847658,-37.79947888
13,144.966919825,-37.79905522
25,144.966919825,-37.79905522
20,144.967099221,-37.79822281
50,144.967135254,-37.79777584
9,144.96715769,-37.79764474
134,144.967187358,-37.79750965
60,144.967822061,-37.79694699
78,144.96913056,-37.79853941
6,144.969673812,-37.79771073
112,144.967847247,-37.79850782
32,144.968030172,-37.79844926
6,144.96818832,-37.79803233
50,144.96818832,-37.79803233
8,144.96765318,-37.79828168
116,144.967889479,-37.80059842
95,144.967502314,-37.79916522
44,144.967609481,-37.79962483
90,144.967425875,-37.79978756
25,144.967385809,-37.79998715
24,144.967343267,-37.80014086
120,144.970863957,-37.79723858
4,144.971192916,-37.79518921
30,144.971177494,-37.79527931
45,144.971159206,-37.79538234
6,144.971132049,-37.79553699
12,144.975143908,-37.79440036
40,144.958081287,-37.80006447
9,144.958034068,-37.80033507
8,144.959242507,-37.80185921
18,144.962218443,-37.80045935
9,144.962738262,-37.80134233
19,144.963651735,-37.80062153
156,144.964246028,-37.80062902
40,144.964291758,-37.80132051
6,144.964297997,-37.80099248
20,144.965633577,-37.80080185
15,144.965633577,-37.80080185
25,144.966478599,-37.80165837
60,144.966485759,-37.8016074
22,144.966485759,-37.8016074
12,144.966495014,-37.80156347
9,144.966495014,-37.80156347
170,144.966511727,-37.80144719
40,144.966511727,-37.80144719
100,144.966511727,-37.80144719
100,144.966497487,-37.80119183
70,144.966681927,-37.8008985
40,144.966681927,-37.8008985
6,144.966659325,-37.80101883
100,144.967177846,-37.80114124
75,144.967169967,-37.80118835
20,144.967160872,-37.80123845
130,144.967270016,-37.80151321
70,144.967270016,-37.80151321
17,144.967198683,-37.80191844
33,144.967198683,-37.80191844
30,144.968606928,-37.8011634
180,144.966823271,-37.80330641
24,144.966823271,-37.80330641
120,144.966779291,-37.80344305
130,144.966745835,-37.80367032
20,144.966692596,-37.80403534
20,144.966708698,-37.80443919
90,144.966708698,-37.80443919
30,144.966708698,-37.80443919
24,144.966708698,-37.80443919
80,144.966708698,-37.80443919
30,144.966708698,-37.80443919
16,144.967195216,-37.80324426
90,144.965959225,-37.80467821
96,144.965983826,-37.80449303
100,144.966033571,-37.8041519
36,144.966043682,-37.80409137
40,144.966053507,-37.80403148
75,144.966075176,-37.80397324
60,144.966107875,-37.80378496
25,144.966107875,-37.80378496
130,144.963954866,-37.80277134
29,144.960043223,-37.80241286
30,144.958528929,-37.80307983
52,144.960047544,-37.80441951
30,144.961158046,-37.80459213
40,144.962916252,-37.80475489
12,144.964288533,-37.80544003
18,144.964451455,-37.80486283
110,144.963522272,-37.80555355
71,144.965708234,-37.80620054
60,144.965509379,-37.80671771
421,144.961256278,-37.79739955
8,144.961256278,-37.79739955
20,144.961256278,-37.79739955
5,144.961256278,-37.79739955
40,144.961256278,-37.79739955
62,144.961256278,-37.79739955
9,144.938207341,-37.7955781
50,144.941317318,-37.79905412
60,144.943365782,-37.80205405
6,144.943233947,-37.80267238
20,144.948980085,-37.80473294
6,144.949080445,-37.80435024
56,144.948916298,-37.80414282
30,144.949094615,-37.80412572
12,144.949050964,-37.80386407
44,144.949092985,-37.80345715
8,144.94843325,-37.79508461
50,144.950053468,-37.8041118
10,144.949590495,-37.80489508
5,144.949590495,-37.80489508
26,144.949690704,-37.80491843
11,144.952786513,-37.8035737
80,144.954324117,-37.80378899
60,144.956678665,-37.80573188
15,144.957399667,-37.80580596
9,144.958301287,-37.80471292
30,144.958301287,-37.80471292
30,144.958152535,-37.80439585
213,144.953356783,-37.79895215
45,144.952996474,-37.7986663
16,144.945587496,-37.80800572
4,144.945587496,-37.80800572
60,144.949971079,-37.80546721
60,144.949798004,-37.80539488
56,144.949586101,-37.80538597
8,144.951375943,-37.80563093
20,144.946077088,-37.80936332
16,144.946077088,-37.80936332
30,144.949239793,-37.80841976
16,144.952412331,-37.80751855
30,144.954777574,-37.80599981
45,144.954250543,-37.8059236
42,144.953969152,-37.80587338
4,144.955613184,-37.8060678
9,144.955613184,-37.8060678
34,144.955613184,-37.8060678
350,144.952645478,-37.80890333
18,144.951694924,-37.8088619
8,144.95011497,-37.80973327
28,144.950109596,-37.8117277
50,144.92836466,-37.79442258
24,144.925613594,-37.79224051
10,144.91945494,-37.79170926
9,144.985600895,-37.81618643
22,144.985600895,-37.81618643
40,144.987375697,-37.81635733
4,144.987375697,-37.81635733
40,144.987436678,-37.81636423
35,144.984124729,-37.80970763
192,144.984171235,-37.81229729
6,144.984311862,-37.81583771
80,144.98452383,-37.81593825
40,144.981932965,-37.80961157
38,144.979110273,-37.80957925
175,144.97362842,-37.80849789
9,144.977903933,-37.80895497
250,144.985839804,-37.82043869
1690,144.983318886,-37.81990618
4920,144.979884197,-37.82162593
60,144.975729209,-37.8354848
12,144.975729209,-37.8354848
12,144.976052146,-37.83570497
8,144.976052146,-37.83570497
50,144.976201546,-37.83615385
6,144.97621927,-37.83627605
120,144.980958415,-37.84736514
50,144.966968571,-37.82712911
5,144.967978916,-37.82843453
25,144.966166408,-37.82967593
200,144.966166408,-37.82967593
40,144.970696203,-37.82941606
70,144.969476535,-37.82447027
80,144.968238227,-37.82094604
290,144.968643286,-37.82281838
178,144.96628251,-37.8206646
70,144.96628251,-37.8206646
80,144.96628251,-37.8206646
40,144.96628251,-37.8206646
12,144.96628251,-37.8206646
190,144.96628251,-37.8206646
67,144.96628251,-37.8206646
70,144.96628251,-37.8206646
40,144.96628251,-37.8206646
60,144.96628251,-37.8206646
60,144.96628251,-37.8206646
40,144.977686412,-37.83949352
60,144.978021362,-37.84040849
170,144.979085624,-37.84331875
13,144.979232364,-37.84371184
62,144.979371818,-37.84410468
28,144.979321641,-37.8445962
2,144.94766247,-37.82459966
40,144.925371782,-37.82324316
20,144.919471315,-37.82904887
60,144.963385261,-37.82092643
100,144.965249499,-37.82133335
100,144.958669665,-37.82312301
100,144.958669665,-37.82312301
190,144.958669665,-37.82312301
67,144.958669665,-37.82312301
74,144.958669665,-37.82312301
140,144.958669665,-37.82312301
686,144.958669665,-37.82312301
66,144.958669665,-37.82312301
32,144.960750207,-37.82491628
60,144.960750207,-37.82491628
46,144.966890765,-37.82169318
6,144.96512263,-37.82255652
50,144.966267617,-37.8226151
10,144.959205927,-37.82620253
170,144.980381626,-37.83017209
25,144.98170899,-37.83431865
50,144.98170899,-37.83431865
8,144.981954521,-37.83430139
12,144.9820458,-37.83431566
50,144.9820458,-37.83431566
112,144.982673446,-37.8463373
244,144.982673446,-37.8463373
118,144.957544029,-37.79554327
35,144.955828029,-37.79859221
25,144.955828029,-37.79859221
500,144.955828029,-37.79859221
80,144.956075856,-37.79746786
70,144.950829081,-37.7949325
16,144.950829081,-37.7949325
16,144.947641423,-37.7854203
17,144.923590699,-37.80665898
55,144.923590699,-37.80665898
51,144.923590699,-37.80665898
51,144.923590699,-37.80665898
20,144.927403019,-37.8092999
120,144.94605451,-37.81537437
2640,144.94755965,-37.81650633
40,144.944979715,-37.81903793
40,144.941270977,-37.81460673
80,144.941270977,-37.81460673
95,144.941270977,-37.81460673
8,144.94214861,-37.81434665
76,144.94214861,-37.81434665
136,144.94214861,-37.81434665
25,144.94214861,-37.81434665
90,144.940668914,-37.8149277
60,144.941421046,-37.81532671
120,144.941421046,-37.81532671
40,144.942823931,-37.81471966
146,144.959163636,-37.82049579
20,144.965442669,-37.81872843
8,144.965442669,-37.81872843
35,144.96894435,-37.81866052
105,144.969927033,-37.81784611
26,144.969927033,-37.81784611
80,144.969927033,-37.81784611
150,144.969927033,-37.81784611
36,144.969927033,-37.81784611
60,144.969927033,-37.81784611
100,144.969927033,-37.81784611
100,144.969927033,-37.81784611
120,144.969927033,-37.81784611
250,144.969927033,-37.81784611
80,144.956611167,-37.81988622
145,144.957159986,-37.82016737
124,144.958109537,-37.81937029
40,144.958000692,-37.81995292
65,144.958610631,-37.81946986
120,144.958610631,-37.81946986
16,144.959520032,-37.81943422
80,144.957475432,-37.81953072
16,144.959197028,-37.81921707
30,144.961539387,-37.81884761
25,144.96114339,-37.81848932
60,144.961955518,-37.81861998
75,144.959974759,-37.8187779
60,144.964559723,-37.81793319
80,144.964321432,-37.81742586
22,144.962446939,-37.81799108
12,144.964891066,-37.81730027
10,144.966312172,-37.81686107
44,144.965912235,-37.81706424
60,144.965912235,-37.81706424
8,144.965493819,-37.81710238
56,144.965493819,-37.81710238
25,144.965635799,-37.81760914
18,144.966006762,-37.8175217
50,144.966006762,-37.8175217
75,144.966362341,-37.81733254
30,144.96656112,-37.81725011
50,144.96656112,-37.81725011
120,144.967032418,-37.81735733
277,144.966844129,-37.81709783
75,144.968384516,-37.81635922
6,144.96855231,-37.81663984
10,144.96855231,-37.81663984
6,144.969095624,-37.81671055
120,144.970843769,-37.81560778
180,144.970522562,-37.81567141
80,144.970409226,-37.81569008
48,144.970167934,-37.81573669
28,144.970051914,-37.81573292
80,144.970095732,-37.8164088
2,144.970744714,-37.81595895
70,144.969904245,-37.81599931
60,144.97168505,-37.81587795
36,144.973599309,-37.81528779
12,144.974111302,-37.81454693
18,144.956371763,-37.818806
70,144.954760137,-37.81942797
75,144.954892552,-37.81970186
180,144.958127973,-37.81854014
76,144.957560445,-37.81866398
100,144.957150396,-37.81874274
60,144.959131572,-37.81858154
245,144.958933179,-37.81817861
12,144.96112259,-37.81745812
20,144.959886102,-37.81797913
40,144.959886102,-37.81797913
140,144.963263212,-37.81706839
130,144.962016251,-37.81714574
20,144.962016251,-37.81714574
32,144.963832578,-37.81662842
130,144.963659244,-37.81686769
170,144.963692231,-37.81726602
42,144.963906499,-37.81720101
18,144.965483843,-37.81664602
22,144.965606003,-37.81660463
12,144.965606003,-37.81660463
11,144.965606003,-37.81660463
30,144.965606003,-37.81660463
10,144.965606003,-37.81660463
25,144.966339898,-37.81584709
6,144.966339898,-37.81584709
55,144.965660497,-37.81635195
100,144.965660497,-37.81635195
34,144.96535013,-37.81620765
8,144.96535013,-37.81620765
30,144.96494251,-37.81662915
16,144.96494251,-37.81662915
80,144.96494251,-37.81662915
15,144.966210107,-37.81642779
30,144.968764736,-37.81543311
90,144.967439797,-37.8158491
40,144.967439797,-37.8158491
70,144.970269213,-37.81468724
981,144.969856095,-37.81516944
470,144.972637449,-37.81430748
25,144.972637449,-37.81430748
45,144.972637449,-37.81430748
36,144.954359995,-37.81867684
8,144.95457828,-37.81861305
4,144.95457828,-37.81861305
33,144.956844258,-37.81767497
150,144.957482691,-37.8175352
52,144.958343357,-37.81753901
80,144.960531979,-37.81643029
20,144.960651729,-37.81669145
85,144.960651729,-37.81669145
140,144.959451344,-37.81730434
38,144.959451344,-37.81730434
22,144.959771769,-37.81703375
15,144.959771769,-37.81703375
38,144.960005936,-37.81679319
4,144.960005936,-37.81679319
16,144.960005936,-37.81679319
8,144.960005936,-37.81679319
11,144.960498485,-37.81699097
55,144.960498485,-37.81699097
20,144.960406312,-37.81629469
75,144.960350756,-37.81631229
10,144.96009875,-37.81638953
8,144.96009875,-37.81638953
60,144.96009875,-37.81638953
120,144.959559514,-37.8166087
88,144.960857088,-37.81614912
140,144.961054879,-37.8166691
140,144.962193877,-37.81615663
60,144.963507065,-37.81592313
45,144.962439728,-37.81583717
14,144.962993827,-37.81570561
13,144.964399481,-37.8152696
54,144.964566859,-37.81567363
74,144.964924097,-37.8153724
16,144.964924097,-37.8153724
120,144.964924097,-37.8153724
15,144.964234875,-37.81529082
8,144.964234875,-37.81529082
35,144.964234875,-37.81529082
16,144.964234875,-37.81529082
26,144.966135192,-37.81528608
20,144.965786792,-37.8150783
100,144.965894603,-37.81483075
12,144.967287194,-37.81485718
4,144.967856974,-37.81450434
65,144.969389109,-37.8139859
100,144.969389109,-37.8139859
19,144.969389109,-37.8139859
45,144.970594093,-37.8139391
140,144.970594093,-37.8139391
60,144.970682048,-37.81354462
4,144.970682048,-37.81354462
62,144.972717731,-37.81342726
8,144.972901314,-37.81330668
100,144.9726046,-37.81315096
20,144.973033132,-37.81280835
40,144.973193019,-37.81260172
8,144.973193019,-37.81260172
12,144.973193019,-37.81260172
80,144.95450209,-37.81732257
101,144.955362043,-37.81741066
110,144.953938804,-37.81777361
12,144.957822709,-37.81636671
20,144.957822709,-37.81636671
70,144.957027445,-37.81647566
66,144.956678287,-37.81651564
34,144.956191456,-37.81652858
8,144.956783481,-37.8169608
86,144.956783481,-37.8169608
24,144.960198073,-37.81547404
60,144.96055036,-37.8155004
60,144.96055036,-37.8155004
44,144.958931831,-37.81630784
30,144.962953623,-37.81491621
28,144.962953623,-37.81491621
4,144.961478162,-37.81523385
6,144.961168516,-37.81509014
100,144.961186457,-37.81538952
32,144.961308278,-37.81565536
60,144.964541708,-37.8144554
14,144.964541708,-37.8144554
25,144.964541708,-37.8144554
84,144.964541708,-37.8144554
8,144.964058421,-37.81458946
6,144.964058421,-37.81458946
120,144.963671668,-37.81443414
56,144.963671668,-37.81443414
120,144.964019006,-37.8148779
18,144.964358022,-37.81473427
12,144.964358022,-37.81473427
18,144.964358022,-37.81473427
32,144.965709828,-37.81433667
20,144.96559218,-37.81407876
24,144.96797783,-37.81311056
7,144.96797783,-37.81311056
28,144.966607844,-37.81376902
7,144.966607844,-37.81376902
17,144.966607844,-37.81376902
20,144.966607844,-37.81376902
40,144.967590055,-37.81390913
50,144.967590055,-37.81390913
45,144.96786929,-37.81376927
24,144.966239345,-37.81417034
28,144.966239345,-37.81417034
100,144.966301496,-37.81430687
80,144.969473212,-37.81301203
80,144.969051642,-37.81278572
90,144.968724809,-37.81343094
16,144.97240357,-37.81181137
150,144.97240357,-37.81181137
16,144.971914658,-37.81198476
80,144.971914658,-37.81198476
44,144.971914658,-37.81198476
12,144.971570154,-37.81211989
240,144.971451403,-37.81281091
110,144.972933874,-37.81199485
8,144.954824134,-37.81602037
6,144.955334847,-37.81622985
6,144.955241724,-37.81602637
16,144.95877017,-37.8149502
119,144.959206395,-37.81499898
38,144.959206395,-37.81499898
32,144.959473587,-37.81506689
16,144.95960928,-37.81486299
60,144.959668504,-37.81430823
12,144.959053722,-37.81456934
7,144.960298597,-37.8148609
15,144.958240425,-37.81492774
30,144.961501471,-37.81443746
24,144.961765686,-37.81416491
20,144.961765686,-37.81416491
16,144.961765686,-37.81416491
30,144.962557399,-37.81354169
70,144.962001325,-37.81374507
24,144.961213744,-37.81385265
12,144.961213744,-37.81385265
7,144.961213744,-37.81385265
100,144.961044245,-37.81403331
4,144.960689858,-37.8140298
12,144.960779337,-37.81429462
100,144.960779337,-37.81429462
10,144.963297364,-37.8136056
110,144.963297364,-37.8136056
58,144.963297364,-37.8136056
95,144.965008761,-37.81309363
32,144.965048099,-37.8128984
100,144.965025183,-37.81284781
42,144.965003724,-37.81279701
50,144.966304612,-37.81272181
250,144.966886214,-37.81259543
60,144.9672862,-37.81243254
20,144.9672862,-37.81243254
30,144.9672862,-37.81243254
60,144.966835874,-37.81221907
50,144.96764258,-37.81247306
15,144.96764258,-37.81247306
24,144.965621157,-37.81279049
50,144.968545341,-37.81206254
140,144.968545341,-37.81206254
60,144.969273933,-37.81207228
100,144.969557446,-37.81207552
36,144.969787188,-37.8117044
50,144.970179716,-37.81194738
60,144.969920584,-37.81128901
85,144.968850153,-37.81159926
120,144.969124169,-37.81174079
30,144.970856657,-37.81173103
11,144.970953649,-37.81170397
20,144.971698403,-37.81137862
12,144.972372089,-37.81129034
45,144.972564821,-37.81123674
100,144.971026066,-37.8114371
50,144.970943426,-37.81125826
8,144.971839432,-37.81094484
60,144.971999687,-37.81074439
150,144.971515286,-37.8108373
65,144.971372416,-37.81092152
50,144.954581469,-37.81537597
30,144.955226146,-37.81459237
50,144.955316545,-37.81478779
23,144.955678914,-37.81501841
200,144.957156481,-37.81427957
150,144.95991676,-37.81386882
55,144.959763729,-37.81355497
8,144.962292501,-37.81321522
17,144.962292501,-37.81321522
30,144.960740482,-37.8132872
70,144.961115578,-37.81307166
70,144.961176802,-37.81318338
30,144.961224431,-37.81329091
34,144.961271745,-37.81339624
45,144.961271745,-37.81339624
60,144.96120238,-37.81283442
80,144.961021567,-37.81288142
20,144.960690363,-37.81304114
100,144.960909817,-37.81365815
20,144.961082978,-37.81359935
20,144.961337723,-37.81354482
40,144.961759003,-37.81327434
60,144.961307266,-37.81302173
18,144.960171475,-37.8132041
30,144.960479202,-37.81352421
28,144.960479202,-37.81352421
24,144.960479202,-37.81352421
48,144.962887714,-37.81261578
4,144.962887714,-37.81261578
30,144.962887714,-37.81261578
10,144.964317001,-37.81206007
15,144.964317001,-37.81206007
20,144.96313704,-37.81292572
50,144.964787834,-37.81239398
100,144.96470564,-37.81221572
106,144.96458411,-37.81195545
80,144.96655253,-37.81170093
73,144.966858027,-37.81118844
23,144.966858027,-37.81118844
110,144.966639921,-37.81126975
17,144.966270297,-37.81143445
52,144.965612403,-37.81213768
80,144.966288572,-37.81203618
200,144.965259827,-37.81199694
40,144.965399344,-37.81176302
90,144.965779851,-37.81206267
112,144.968334334,-37.81099925
78,144.969529991,-37.81051241
9,144.968686348,-37.81072822
22,144.968686348,-37.81072822
170,144.968026807,-37.81090752
150,144.969084968,-37.81124576
80,144.96765378,-37.81098407
150,144.96765378,-37.81098407
145,144.968004154,-37.81132924
28,144.968162341,-37.810818
12,144.970505583,-37.81055842
230,144.970984312,-37.81068648
54,144.971084696,-37.8103636
23,144.972068819,-37.81012834
6,144.972068819,-37.81012834
16,144.954289613,-37.81384941
120,144.95670737,-37.81318044
8,144.956593229,-37.81292535
40,144.956026441,-37.81347798
20,144.956026441,-37.81347798
2,144.956026441,-37.81347798
40,144.956026441,-37.81347798
20,144.956026441,-37.81347798
60,144.956026441,-37.81347798
40,144.956026441,-37.81347798
22,144.956026441,-37.81347798
8,144.956026441,-37.81347798
45,144.956026441,-37.81347798
33,144.956026441,-37.81347798
44,144.960403092,-37.81210871
35,144.960403092,-37.81210871
30,144.960712674,-37.81194892
35,144.960540074,-37.81240924
20,144.960540074,-37.81240924
5,144.961143873,-37.81201073
16,144.960350578,-37.81187576
20,144.960350578,-37.81187576
12,144.960350578,-37.81187576
50,144.960259327,-37.81190214
80,144.959973508,-37.81269154
6,144.965712827,-37.81065936
60,144.965712827,-37.81065936
104,144.965712827,-37.81065936
49,144.965712827,-37.81065936
18,144.965712827,-37.81065936
30,144.965712827,-37.81065936
46,144.965712827,-37.81065936
50,144.965712827,-37.81065936
50,144.965712827,-37.81065936
46,144.965712827,-37.81065936
300,144.969985036,-37.80941625
45,144.952905577,-37.81327436
50,144.951888431,-37.81337162
20,144.954256131,-37.81255558
12,144.954323882,-37.81270203
70,144.954323882,-37.81270203
40,144.955309022,-37.81251997
74,144.954960915,-37.81275305
40,144.956456869,-37.81270923
16,144.960838409,-37.81074835
16,144.962613888,-37.81157898
70,144.962613888,-37.81157898
30,144.963007607,-37.81076333
100,144.963007607,-37.81076333
36,144.963007607,-37.81076333
125,144.963007607,-37.81076333
36,144.963007607,-37.81076333
115,144.963007607,-37.81076333
50,144.964273178,-37.81122845
35,144.964203259,-37.81107901
10,144.964176196,-37.81101997
30,144.964176196,-37.81101997
24,144.96405697,-37.81076453
16,144.96405697,-37.81076453
9,144.96405697,-37.81076453
23,144.963760084,-37.81036646
47,144.965315473,-37.80977018
100,144.968837799,-37.80893302
45,144.968797432,-37.80884919
12,144.968432447,-37.8086199
40,144.966825993,-37.80932712
40,144.966913416,-37.80951804
52,144.953523715,-37.81214666
88,144.957123509,-37.81123862
45,144.959146247,-37.81072178
4,144.959287049,-37.81068114
35,144.959287049,-37.81068114
24,144.960444339,-37.81010525
8,144.960444339,-37.81010525
42,144.961752357,-37.8094468
24,144.96295652,-37.80909294
20,144.968036105,-37.80786177
8,144.968036105,-37.80786177
2,144.958002795,-37.8098814
6,144.956130159,-37.81032438
65,144.956130159,-37.81032438
16,144.960006406,-37.80914481
28,144.96035335,-37.80885999
2,144.960246372,-37.8088113
80,144.960246372,-37.8088113
12,144.959162971,-37.80896134
40,144.959162971,-37.80896134
140,144.962937359,-37.80846031
20,144.962601271,-37.80805215
24,144.95724895,-37.80746124
6,144.95724895,-37.80746124
12,144.95724895,-37.80746124
17,144.95724895,-37.80746124
44,144.95724895,-37.80746124
26,144.95724895,-37.80746124
24,144.95724895,-37.80746124
32,144.95724895,-37.80746124
24,144.959801127,-37.8076043
60,144.959642609,-37.80750483
20,144.958380541,-37.80792292
6,144.959960252,-37.80794226
8,144.961146288,-37.8073295
38,144.961995671,-37.80710849
40,144.961995671,-37.80710849
75,144.961415374,-37.80713928
130,144.955096248,-37.82272182
290,144.955096248,-37.82272182
42,144.953651706,-37.82253773
43,144.965543359,-37.7967085
25,144.964960392,-37.79953872
